# digests of the recompiled code - 96 functions
# 64-bit
func_80014B50                    4C4E693D94850625
collision_get_y                  F1415FD72BFC0752
obj_animate                      FAULT
func_8002C954                    89F9AA0E7479664C
func_8001CD28                    FAULT
particle_allocate                463EEEB692B3690E
get_object_property_size         FAULT
material_set                     FAULT
debug_text_character             FAULT
func_80060C58                    FAULT
material_set_blinking_lights     FAULT
gzip_inflate_codes               FAULT
wave_load_material               FAULT
search_level_properties_forwards FAULT
resolve_collisions               FAULT
func_80053750                    FAULT
func_8002FF6C                    4886DC0019C96295
apply_vehicle_rotation_offset    A9129EE442E9DE73
func_800BA288                    3AF32204C5F77B8D
_bcopy                           FAULT
func_80026C14                    1D339977887D3568
compute_grid_overlap_mask        E2B5156FDF950330
search_level_properties_backwards 3BDBCDFE8B198192
transition_update_shape          F711F44320E9BC2B
s32_to_string                    FAULT
func_80014090                    FAULT
get_wave_properties              FAULT
sprite_init_frame                FAULT
wavegen_register                 FAULT
void_generate_primitive          FAULT
func_8001E4C4                    FAULT
func_8000E5EC                    FAULT
light_update_ambience            349FC27C67174A4F
obj_init_property_flags          956018E14F3E9C17
get_first_active_object          458F7F109DA0BB66
__lookupSoundQuick               FAULT
material_load_simple             FAULT
spectate_update                  FAULT
update_colour_cycle              F9A02BA97A75D609
texrect_draw                     FAULT
func_800BBE08                    FAULT
func_80072E28                    C65B523CE2BAB03B
clear_object_pointers            FAULT
snow_update                      FAULT
get_inside_segment_count_xyz     FAULT
func_800BF9F8                    FAULT
func_8001E6EC                    FAULT
wavegen_destroy                  FAULT
transition_update_blank          964FBCE6A06BA039
func_80017A18                    9D2020C01CD5039E
func_80072C54                    0340F2110E4F7CA9
slowly_change_fog                FAULT
obj_shade_fast                   FAULT
find_active_pool_slot_colours    FAULT
screenimage_draw                 FAULT
postrace_message                 FAULT
check_for_controller_pak_errors  FAULT
transition_update_fullscreen     AB8D06050BF5EAB0
transition_init_blank            936295B22CE7444E
decrypt_magic_codes              D2D2993CCD0F8474
apply_fog                        FAULT
scroll_particle_textures         CF9635935DC98B3B
__alCSeqNextDelta                E2EB7382A2641C7D
obj_tick_anims                   FAULT
obj_door_number                  F03F632BC5DF6102
func_800BFE98                    FAULT
calc_dyn_lighting_for_level_segment FAULT
update_particle_texture_frame    FAULT
set_fog                          FAULT
obj_init_butterfly               FAULT
gzip_inflate_stored              FAULT
get_level_segment_index_from_position FAULT
tri2d_xz_contains_point          FAULT
mtxs_transform_point             A116A272A5E8F1E1
_bcmp                            2B6DA9ED3F055CE2
update_pulsating_light_data      0A6A68759AD4637C
update_fog                       4475D7F3D9C00012
obj_bridge_pos                   FAULT
racer_calc_distance_to_opponent  E91E466A2ED12EA0
mempool_slot_clear               FAULT
func_8000E79C                    FAULT
mtxs_transform_dir               EA7E737D39C89F5A
light_remove                     F48E48A18F2A75A3
get_timestamp_from_frames        ACAF1788A8182758
get_text_width                   FAULT
func_8002F2AC                    FAULT
atan2s                           18101AA2BF3CB20E
titlescreen_controller_assign    323BF309836224B0
cam_set_layout                   A2EC980CAE0A8688
lensflare_override_remove        2E706044CBB175C6
check_if_inside_segment          FAULT
align_text_in_box                14C543B8C3DEE0E9
ainode_find_next                 6B453A8F9FB4E80A
func_80052988                    C3DFBAA540F2BAA2
func_8002AC00                    FAULT
waves_block_hq                   FAULT
# 56 faute(s) sur 96
